poi_id,name,lon,lat,zone_id,facility_type,capacity_level
CEN_LOG_014883,Census logistics 52397785,139.943750,35.320833,MFS44,LOGISTICS_HUB,low
CEN_LOG_014884,Census logistics 52404074,140.056250,35.062500,MFS45,LOGISTICS_HUB,low
CEN_LOG_014885,Census logistics 52407250,140.256250,35.295833,MFS45,LOGISTICS_HUB,low
CEN_LOG_014886,Census logistics 52397470,139.506250,35.312500,MFS20,LOGISTICS_HUB,low
CEN_LOG_014887,Census logistics 52397479,139.618750,35.312500,MFS12,LOGISTICS_HUB,medium
CEN_LOG_014888,Census logistics 52397483,139.543750,35.320833,MFS20,LOGISTICS_HUB,medium
CEN_LOG_014889,Census logistics 52397493,139.543750,35.329167,MFS20,LOGISTICS_HUB,low
CEN_LOG_014890,Census logistics 52397504,139.681250,35.254167,MFS19,LOGISTICS_HUB,medium
CEN_LOG_014891,Census logistics 52397507,139.718750,35.254167,MFS19,LOGISTICS_HUB,low
CEN_LOG_014892,Census logistics 52397522,139.656250,35.270833,MFS19,LOGISTICS_HUB,low
CEN_LOG_014893,Census logistics 52397524,139.681250,35.270833,MFS19,LOGISTICS_HUB,medium
CEN_LOG_014894,Census logistics 52397581,139.643750,35.320833,MFS19,LOGISTICS_HUB,medium
CEN_LOG_014895,Census logistics 52397658,139.856250,35.295833,MFS19,LOGISTICS_HUB,low
CEN_LOG_014896,Census logistics 52397668,139.856250,35.304167,MFS19,LOGISTICS_HUB,low
CEN_LOG_014897,Census logistics 53340663,134.793750,35.387500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014898,Census logistics 53340681,134.768750,35.404167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014899,Census logistics 53341799,134.993750,35.495833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014900,Census logistics 53340682,134.781250,35.404167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014901,Census logistics 53341467,134.593750,35.470833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014902,Census logistics 53343712,134.906250,35.595833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014903,Census logistics 53343787,134.968750,35.654167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014904,Census logistics 53342634,134.806250,35.529167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014905,Census logistics 53350116,135.206250,35.345833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014906,Census logistics 53351676,135.831250,35.479167,MFS68,LOGISTICS_HUB,low
CEN_LOG_014907,Census logistics 53351680,135.756250,35.487500,MFS68,LOGISTICS_HUB,low
CEN_LOG_014908,Census logistics 53351705,135.943750,35.420833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014909,Census logistics 53352027,135.093750,35.520833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014910,Census logistics 53351350,135.381250,35.462500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014911,Census logistics 53352036,135.081250,35.529167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014912,Census logistics 53351385,135.443750,35.487500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014913,Census logistics 53352088,135.106250,35.570833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014914,Census logistics 53351386,135.456250,35.487500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014915,Census logistics 53352171,135.143750,35.562500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014916,Census logistics 53352172,135.156250,35.562500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014917,Census logistics 53351469,135.618750,35.470833,MFS68,LOGISTICS_HUB,low
CEN_LOG_014918,Census logistics 53354078,135.106250,35.729167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014919,Census logistics 53351494,135.556250,35.495833,MFS68,LOGISTICS_HUB,low
CEN_LOG_014920,Census logistics 53354778,135.981250,35.729167,MFS68,LOGISTICS_HUB,low
CEN_LOG_014921,Census logistics 53357729,135.993750,35.937500,MFS68,LOGISTICS_HUB,low
CEN_LOG_014922,Census logistics 53360022,136.031250,35.354167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014923,Census logistics 53360023,136.043750,35.354167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014924,Census logistics 53360208,136.356250,35.337500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014925,Census logistics 53360250,136.256250,35.379167,MFS71,LOGISTICS_HUB,low
